,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
0,67,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,6,electronic equipment,1169000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
1,22,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,2 lac,48,electronic equipment,5951000,2,real estate,0,0,1,existing loans paid back duly till now,High Risk
2,49,male,single,2,own,3,unskilled - resident,4 years,7 years,1,Low,0,0,12,education,2096000,2,real estate,0,0,1,critical/pending loans at other banks,Low Risk
3,45,male,single,2,for free,4,skilled employee / official,4 years,7 years,1,Low,0,0,42,FF&E,7882000,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,Low Risk
4,53,male,single,2,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,24,new vehicle,4870000,3,car or other,0,0,2,delay in paying off loans in the past,High Risk
5,35,male,single,2,for free,4,unskilled - resident,1 year,4 years,1,Low,0,0,36,education,9055000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
6,53,male,single,1,own,4,skilled employee / official,7 years,4 years,1,High,0,0,24,FF&E,2835000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
7,35,male,single,1,rent,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,2 lac,36,used vehicle,6948000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
8,61,male,divorced/separated,1,own,4,unskilled - resident,4 years,7 years,1,Very high,0,0,12,electronic equipment,3059000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
9,28,male,married/widowed,1,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,2 lac,30,new vehicle,5234000,4,car or other,0,0,2,critical/pending loans at other banks,High Risk
10,25,female,divorced/separated/married,1,rent,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,12,new vehicle,1295000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
11,24,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,48,business,4308000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
12,22,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,2 lac,12,electronic equipment,1567000,1,car or other,0,0,1,existing loans paid back duly till now,Low Risk
13,60,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,24,new vehicle,1199000,4,car or other,0,0,2,critical/pending loans at other banks,High Risk
14,28,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,0,15,new vehicle,1403000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
15,32,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,4 years,1,Medium,0,0,24,electronic equipment,1282000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
16,53,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,electronic equipment,2424000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
17,25,male,single,1,own,3,skilled employee / official,0 year,1 year,1,Low,0,0,30,business,8072000,2,car or other,0,0,3,no loans taken/all loans paid back duly,Low Risk
18,44,female,divorced/separated/married,1,for free,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,2 lac,24,used vehicle,12579000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
19,31,male,single,2,own,2,skilled employee / official,7 years,4 years,1,High,0,0,24,electronic equipment,3430000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
20,48,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,9,new vehicle,2134000,4,car or other,0,0,3,critical/pending loans at other banks,Low Risk
21,44,male,single,2,rent,3,skilled employee / official,1 year,4 years,1,High,0,0,6,electronic equipment,2647000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
22,48,male,single,2,rent,3,unskilled - resident,0 year,1 year,0,Low,0,0,10,new vehicle,2241000,1,real estate,0,0,2,critical/pending loans at other banks,Low Risk
23,44,male,single,1,own,4,skilled employee / official,0 year,1 year,1,Medium,0,2 lac,12,used vehicle,1804000,3,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
24,26,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,0,Low,0,0,10,FF&E,2069000,2,car or other,0,0,2,critical/pending loans at other banks,Low Risk
25,36,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,6,FF&E,1374000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
26,39,male,married/widowed,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,6,electronic equipment,426000,4,car or other,0,0,1,no loans taken/all loans paid back duly,Low Risk
27,42,female,divorced/separated/married,1,rent,3,skilled employee / official,1 year,4 years,1,Very high,2 lac,0,12,electronic equipment,409000,3,real estate,0,0,2,all loans at this bank paid back duly,Low Risk
28,34,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,2 lac,7,electronic equipment,2415000,3,real estate,0,1,1,existing loans paid back duly till now,Low Risk
29,63,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,60,business,6836000,3,car or other,0,0,2,delay in paying off loans in the past,High Risk
30,36,male,married/widowed,1,own,3,skilled employee / official,0 year,1 year,1,Very high,0,2 lac,18,business,1913000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
31,27,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,24,FF&E,4020000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
32,30,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,18,new vehicle,5866000,2,car or other,0,0,2,existing loans paid back duly till now,Low Risk
33,57,male,single,1,rent,4,unskilled - resident,7 years,4 years,1,Low,0,0,12,business,1264000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
34,33,female,divorced/separated/married,1,own,1,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,2 lac,0,12,FF&E,1474000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
35,25,male,single,1,own,2,unskilled - resident,0 year,1 year,1,Low,0,2 lac,45,electronic equipment,4746000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,High Risk
36,31,male,single,1,for free,3,skilled employee / official,1 year,4 years,1,Low,0,0,48,education,6110000,1,car or other,0,0,1,critical/pending loans at other banks,Low Risk
37,37,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,2 lac,0,18,electronic equipment,2100000,4,real estate,1,0,1,existing loans paid back duly till now,High Risk
38,37,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,2 lac,0,10,domestic appliances,1225000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
39,24,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,2 lac,9,electronic equipment,458000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
40,30,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,High,0,0,30,electronic equipment,2333000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
41,26,male,divorced/separated,1,own,1,skilled employee / official,1 year,4 years,1,High,0,2 lac,12,electronic equipment,1158000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
42,44,male,single,2,own,4,unskilled - resident,1 year,4 years,1,Low,0,2 lac,18,repair costs,6204000,2,real estate,0,0,1,delay in paying off loans in the past,Low Risk
43,24,male,married/widowed,1,rent,4,skilled employee / official,4 years,7 years,1,Medium,0,0,30,used vehicle,6187000,1,car or other,0,0,2,critical/pending loans at other banks,Low Risk
44,58,female,divorced/separated/married,1,for free,4,unskilled - resident,7 years,4 years,1,Low,0,0,48,used vehicle,6143000,4,car or other,0,0,2,critical/pending loans at other banks,High Risk
